F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,Target
158.5,3202.44,193.6,USA,-9.99,-1519.32,4.59,55.9,-11.94,18.36,62.5,33.7,-1729.64,-1001.83,-9014.94,Very low,1559.73,2,1.83,1070.91,22884.64,4992.78,32619.54,11.83,1944.9,3124.23,59.98,-6545.85,57.66,-176.82,-240.06,5.48,30.15,3,192.44
130.16,2264.04,286.55,Rest,26.6,-773.9,18.15,46.34,-10.4,24.38,82.6,35.8,-2027.82,-401.85,-6937.47,High,1597.8,5,8.01,558.54,14994.74,3638.58,21180.03,18.02,4073.94,4543.56,73.14,-33156,1465.71,-155.34,-244.28,2.54,13.89,3,73.69
75.22,3994.74,181.37,Rest,-49.63,-234.46,17.5,52.68,-9.63,37.38,-25.52,41.1,-1778.92,-714.78,-9561.84,High,1232.16,3,5.91,403.54,19051.12,2552.07,25745.64,16.48,3090.75,2732.67,50.74,19796.43,0.35,-121.5,-248.7,12.2,18.63,4,118.04
215.02,2525.34,187.29,Rest,-64.83,-405.84,6.75,52.64,-12.09,28.02,-27.86,36.44,-1962.1,-929.65,-7500.39,Low,1108.35,0,2.23,114.09,14083.18,5387.34,6361.08,19.85,4144.26,823.62,71.4,458.04,6.45,-107.52,-262.52,19.82,39.87,2,211.87
210.1,2569.65,141.33,UK,-9.58,-1670.88,12.34,54.48,-11.64,27.66,48.58,32.6,-2185,-1244.66,-8175.93,Very low,2997.45,4,2.43,738.91,15383.32,2746.68,28605.99,14.25,3081.42,2391.81,66.3,-9713.55,4.09,-231.48,-175,3.42,25.29,6,16.38
180.1,3635.43,236.6,USA,-45.62,-375.7,16.09,47.9,-8.52,24.86,77.14,30.48,-923.4,-595.85,-6720.72,High,2545.08,4,1.26,1005.11,17502.36,2761.11,38452.14,15.69,3168.3,2172.78,67.12,-19791.72,0.31,-58.41,-210.72,10.82,13.8,5,205.16
253.08,1557.09,212.27,UK,-2.1,-213.84,15.79,53.36,-11.07,24.5,-139.74,37.42,-1353.06,-1203.27,-8067.93,Medium,962.31,4,10.77,689.45,17225.32,4553.88,1763.97,19.74,2170.23,3783.36,70.2,-12866.1,0.13,-86.82,-254.92,5.56,32.25,1,28.12
70.5,2774.28,243.68,UK,0.98,-615.52,16.51,49.34,-11.25,22.64,2.52,37.18,-1894.36,-770.33,-7940.76,Very high,2438.07,3,2.45,996.03,2590.98,3287.82,34149.03,16.75,832.86,2108.04,83.86,-4258.98,17.07,-61.35,-93.9,25.88,29.07,0,277.11
126.94,2785.11,199.2,USA,62.19,-1100.14,15.9,53,-9.17,26.28,181.28,39.22,-2149.8,-1075.96,-7131.57,Low,2112.54,6,3.94,318.09,19727.32,3589.08,35145.3,16.08,3358.95,-403.23,70.08,-14165.04,0.29,-322.98,-271.1,3.98,35.34,4,117.45
168.32,2580.33,202.14,Rest,-4.17,-514.36,11.09,29.82,-8.21,23.5,43.96,42.1,-996.28,-694.69,-7136.73,Medium,2841.6,5,6.83,870.77,18633.48,2811.6,13663.29,11.42,3383.52,1457.67,59.58,-8958.21,0.34,-53.37,-62.28,5.32,20.46,5,-8.93
109.1,3908.13,150.95,Europe,22.11,-591.4,5.74,50.18,-13.04,27.04,85.82,29.52,-1083.44,-821.09,-9407.73,Very low,4355.88,4,1.15,452.81,-9405.68,3114.84,18629.37,18.92,2653.56,2292.6,74.26,-5281.65,4925.23,-94.32,-229.16,10.18,28.44,1,539.81
80.56,3342.3,203.53,UK,-44.75,-264.48,12.4,54.32,-12.73,22.12,30.42,46.98,-2251.2,-1162.94,-11604.33,High,1632.84,2,2.06,1311.48,14970.5,3072.06,18341.94,18.4,2372.37,2830.17,76.62,-11407.83,4.77,-193.41,-179.56,3.44,26.64,3,177.7
156.44,2163.63,190.29,USA,16.26,-1091.48,21.5,60,-12.46,14.26,32.96,34.06,-1403.98,-809.88,-7805.7,Low,3185.4,5,1.38,835.78,10042.32,3631.56,17136.3,19.65,3257.67,1732.65,70.52,-23194.5,5.73,-120.93,-240.94,4.46,14.76,4,615.4
146.36,2815.32,213.55,Europe,-39.24,-1417.1,6.44,41.22,-7.65,44.52,22.26,32.26,-1090.46,-753.47,-6454.47,Medium,2742.24,3,1.54,914.88,14166.88,3187.23,27212.43,17.28,2214.87,1685.25,79.38,-4755.78,0.57,-25.11,-190.44,9.86,30.18,4,125.15
50.9,2243.28,195.75,Europe,-6.51,-869.22,19.98,58.8,-4.55,20.3,-93.24,33.26,-1883.66,-512.85,-5386.98,Very high,2483.64,4,9.65,792,19785.26,3910.41,41011.56,16.13,3103.29,955.86,71.68,-18608.46,5.49,-84.15,-338.58,3.3,19.86,5,-8.93
104.32,3121.56,168.99,USA,-31.01,-1263.86,11.88,54.78,-7.68,27.8,80.34,44.66,-2147.3,-1123.05,-7450.08,Low,3529.11,4,3.18,707.98,-6618.38,4923.6,11708.46,18.88,2137.5,1561.92,72.82,-9098.97,9.27,-37.41,-236.54,13.46,23.94,4,70.05
231.68,2770.86,158.9,USA,-25.37,-237.66,15.66,52,-5.74,26.6,0.44,25.5,-921.22,-938.07,-6123.93,Very low,2309.43,3,4.72,1553.47,20403.38,3693.99,32818.41,16.21,1720.56,1196.52,71.66,-15633.66,0,-110.55,-118.02,5.3,35.04,5,-8.93
245.26,3052.71,186.08,USA,-7.43,-750.46,15.9,49.68,-8.71,33.42,-28,43.18,-2478.28,-707.27,-7216.2,Low,1779.78,5,4.87,812.13,16722.04,2947.02,14990.07,20.9,2617.17,1372.98,61.7,-27293.13,398.79,-93.99,-199.42,6.06,21.39,5,-8.93
66,2249.52,224.49,USA,-9.03,-1158.6,11.21,54.96,-6.8,26.62,-17.28,35.68,-3005.84,-739.86,-6362.46,High,3049.11,5,2.17,840.27,8941,5338.35,17483.73,0.34,1750.14,2402.28,74.94,-21608.43,6.96,-91.59,-177.44,9.58,22.47,1,650.03
100.18,2164.89,194.32,Rest,-66.67,-904.38,9.56,54.88,-11.09,24.72,62.48,68.42,-1795.4,-887.8,-7787.64,Very high,2080.56,4,2.71,1054.82,9242.36,4301.7,30623.64,18.94,2283.12,3041.22,53.74,-2385.27,0.09,-134.76,-151.94,4.72,23.31,4,322.07
164.22,2010.72,199.64,Rest,-51.5,-462.62,15.49,44.84,-10.96,33.24,-19.36,43.06,-2062.22,-1206.19,-5058.03,High,622.5,4,1.19,806.32,11052.62,1842.03,25135.02,19.88,2392.29,2939.82,74.2,-18434.49,0.02,-181.83,-116.94,4.26,18.51,8,124.36
199.74,2684.1,149.34,Rest,22.37,-977.42,11.43,47.42,-6.85,29.94,-18.12,38.9,-1948.16,-978.81,-9957.27,High,2095.08,4,3.13,514.81,22655.64,2279.97,12974.76,20.42,1517.52,1402.71,69.86,-16219.17,0.67,-28.56,-231.46,5.92,18.96,6,42.05
180.42,3246.27,201.39,Europe,-37.56,-688.56,21.71,52.56,-3.44,26.44,54.52,32.46,-3530.58,-1085.68,-5688.75,High,3955.14,5,8.87,537.3,33412.28,4327.86,20400.3,23.28,1900.32,-1239.3,63.86,-5369.97,4.25,-162.21,-189.12,7.92,20.34,6,-8.93
94.26,2291.37,236.36,Europe,-26.67,-1304.12,15.31,65.56,-10.27,23.7,-34.42,42.84,-1622.94,-708.81,-10055.85,Very high,1814.67,3,2.03,842.25,24744.24,4319.58,14973.12,18.13,5088.39,2708.79,68.86,1641.72,7.86,-0.42,-230.3,11.12,12.27,4,492.55
196.26,3189.15,185.05,USA,-3.28,-899.3,15.29,50.44,-9.17,33.68,54.64,32.54,-562.3,-645.31,-8404.98,Medium,1725.99,3,1.31,641.65,8907.6,3083.22,23986.23,18.53,1545.6,-871.71,56.74,-7578.66,0.03,-109.92,-226.92,29.8,31.92,7,20.4
150.58,3604.59,147.7,USA,81.12,197.18,12.78,47.44,-7.23,10.22,37.64,29,-2395.68,-784.47,-6938.25,Medium,2762.55,5,0.84,590.24,8343.46,2914.59,24535.71,22.8,2469.99,2828.34,75.72,-12406.17,0,24.09,-124.3,10.14,12.48,2,607.5
201.02,2673.09,193.99,USA,-2.64,-1885.02,15.1,40.64,-16.08,24.72,69.6,37.22,-2335.54,-488.57,-5990.01,Very low,2406.21,3,8.78,901.22,13944.5,4251.57,13850.82,20.04,3055.77,1520.28,71.48,-15564.21,0.84,-164.28,-286.52,5.64,29.37,5,-8.93
155.6,2721.3,259.71,USA,1.89,-1272.54,17.18,41.08,-8.91,21.12,1.62,36.98,-1419.68,-814.3,-10923.3,Medium,2695.62,2,1.77,475.27,17096.56,2810.73,28625.01,19.36,873.09,1435.08,68.92,-22334.13,1.02,-132.12,-218.02,4.06,24.36,6,-8.93
215.38,2637.06,205.89,UK,-56.73,295,17.16,54.74,-10.34,31.1,44.16,50.32,-1214.74,-541.22,-7210.11,Medium,2256.21,5,1.24,542.26,8145.5,3528.27,21464.88,18.87,2348.04,1458.27,68.5,-13156.62,0.01,-38.76,-256.84,3.82,31.62,3,185.61
230.38,3082.14,217.9,Rest,-12.5,-1207.68,17.06,56.34,-13.86,29.2,-27.66,27.9,-1827.14,-1487.02,-6867.57,High,2257.8,4,7.47,1018.96,37360.3,1441.8,29611.89,16.69,4002.9,1562.01,54.56,-7319.04,1.5,45.54,-176,7.84,32.1,6,67.1
161.42,3251.43,327.49,Rest,66.44,-998.34,21.62,49.36,-12.69,16.42,-6.54,41.08,-2200.16,-1169.59,-7057.32,Medium,1712.1,4,1.44,1115.55,1798.98,3853.83,20392.41,20.38,4049.28,-550.35,70.64,-13182.78,0.01,-220.47,-168.72,10.98,26.88,1,451.64
138.92,2570.28,180.22,UK,-22.93,-1743.62,15.81,65.34,-13.37,28.64,58.54,45.58,-2287.9,-851.25,-8200.32,Low,44.31,4,1.67,364.01,6299.08,3131.76,23530.89,15.56,3181.86,219.03,61.68,5076.87,27.94,-90.66,-284.08,8.3,24.21,2,243.44
73.7,2715.75,166.54,Europe,-153.12,-124.72,21,52.08,-6.79,18.82,11.2,30,-2495.36,-487.31,-6577.86,Very high,1789.26,3,3.22,935.57,8086.06,2499.84,19609.8,18.71,2841.57,2001.09,67.92,-21199.08,1.43,21.75,-247.66,2.36,16.05,4,103.02
177,3578.88,259.47,Europe,-12.94,-1762.98,15.86,52.18,-11.67,22.7,-6.52,28.2,-1484.94,-782.9,-7416.78,Very low,4078.26,6,5.27,954.12,14539.12,991.26,42089.79,15.92,4056.57,943.59,79.08,-16435.14,0.81,28.17,-277.28,0.4,26.61,5,-8.93
37.46,1480.95,198.94,Rest,-29.49,-653.38,24.44,51.42,-7.17,26.62,35.52,35.36,-1159.4,-1055.19,-7647.69,Low,2842.38,5,3.82,25.7,23072.08,4389.03,15362.01,17.84,3213.96,1664.37,64.84,-4786.77,0.9,-12.33,-240.66,6.92,37.95,3,118.03
165.08,1454.55,259.98,Rest,-155.16,78.72,15.04,48.48,-3.35,23.02,-56.64,29.94,-4005.52,-1332.81,-7513.56,Very high,1870.14,6,9.41,860.57,15871.84,3413.25,23006.91,21.72,2987.25,-937.68,67.46,-2183.37,0.66,-70.59,-209.4,23.82,14.1,8,-8.93
135.12,3290.52,181.16,Europe,-25.69,-181.5,10.43,50.12,-8.21,36.28,-32.84,37.28,-1453.16,-707.04,-8360.31,Very low,2526.48,3,1.1,900.15,23623.16,2313.42,5918.13,16.5,2534.88,2686.38,69.76,-26159.22,0.03,-138.39,-138.68,16.02,28.68,2,171.82
156.62,1794.93,158.35,UK,11.72,-1340.48,14.69,53.76,-7.56,36.2,-76.78,38.6,-1997.56,-988.91,-7358.22,Very low,2870.13,4,1.2,964.65,15073.22,3970.86,9741.36,22.78,1349.58,1749.54,71.42,-15627.66,51.71,-89.37,-249.16,4.6,25.68,3,57.67
98.36,2827.11,170.91,Europe,-62.63,-1178.62,14.97,53.02,-11.09,27.44,133.12,40.68,-1367.42,-1227.48,-7829.31,High,3486.51,3,2.54,686.25,15846.62,3653.01,33569.01,19.58,3233.73,1960.26,66.5,-10102.29,0.28,-257.55,-253.36,17.42,28.35,3,390
145.08,4036.02,161.3,USA,163.85,-16.44,16.75,58.72,-9.64,28.56,86.7,29.76,-1390.04,-910.92,-6931.38,Very low,4284.87,5,6,531.95,10998.16,2617.02,22614.33,16.28,2616.9,998.46,65.08,-8640.78,0.06,43.86,-138.62,5.42,32.4,5,-8.93
138.8,1106.07,165.59,USA,-25.57,-860.2,6.99,56.96,-6.84,20.28,38.26,29.84,-1560.7,-894.24,-8669.4,Medium,2513.07,0,11.7,984.67,18930.48,2265.45,23367.75,18.01,3133.95,3813.18,67.94,-3289.35,6.94,-64.53,-162.72,5.28,33.03,4,-8.93
229.7,2011.89,183.04,USA,-49.7,-411.06,13.13,52.58,-9.6,19.4,18.74,35.7,-2109.88,-461.38,-7640.37,Low,1966.83,2,1.47,585.97,12410.54,1194.99,19792.35,16.1,3486.81,952.17,67.36,-11725.68,0.05,66.3,-108.6,8.62,27.42,5,39.96
149.72,1691.28,213.01,UK,25.1,-194.16,19.5,50.74,-10.25,27.92,37.36,40.86,-1119.62,-788.98,-6926.34,High,2431.59,6,1.79,592.67,9149.54,3587.85,33995.1,19.73,1642.44,2259.96,67.34,-14834.79,3.21,-151.65,-186.88,9.14,29.07,4,174.25
163.68,1956.81,176.44,USA,-10.94,-369.6,19.47,48.18,-10,24.58,34.86,39.88,-1307.08,-52.45,-7447.38,High,2064.12,2,5.1,1002.51,12713.64,2510.13,21914.31,21.35,2559.12,7878.57,71.54,6011.55,0.26,-234.84,-248.52,2.88,33.39,5,52.25
161.02,1247.19,186.37,Rest,23.02,-37.68,19.02,57.38,-7.04,21.56,-16.32,35.24,-2146.62,-368.33,-8049.81,High,302.52,5,1.27,1081.76,16272.72,5501.79,30525.72,19.22,4936.32,393.12,62.1,-6906.6,434.42,-40.86,-195.1,2.52,27.54,5,191.02
197.48,1487.64,168.85,Europe,11.26,-196.5,18,58.82,-7.29,23.88,43.9,35.8,-2749.7,-955,-7191.54,Very low,2971.86,4,1.91,469.48,-7713.72,4798.95,-250.41,23.23,2796.33,745.32,77.26,-22640.46,14.59,-96.84,-135.06,11.84,14.64,6,-8.93
117.52,2988.66,233.81,Rest,-12.4,8.22,15.48,50.28,-11.22,33.58,-1.78,29.6,-1438.82,-1044.01,-6837.99,Medium,1697.37,3,2.96,902.95,13257.2,2538.6,18343.83,11.93,1738.86,1561.02,66.34,-25501.8,0.27,-84.84,-268.32,25.04,25.08,7,3.76
21.48,1575.09,160.71,Rest,11.38,-501.48,15.76,41.82,-8.79,26.88,109.18,31.62,-1928.36,-822.6,-8648.19,Medium,2322.78,4,3.77,647.43,21213.68,2070.27,29345.43,23.74,2967.66,1527.21,101.8,5542.62,446.59,-53.4,-158.36,8.16,23.13,5,84.38
143.82,3125.55,194.84,UK,-10.93,-1326.64,18.35,61.04,-11.02,25.9,112.08,42.64,-1434.08,-546.89,-6945.48,Very high,2731.44,5,2.7,968.69,16825.6,2943.48,15623.13,17.28,3446.01,634.41,67.7,-3045.03,8.05,-70.65,-146.68,9,12.45,3,269.6
234.66,2806.53,200.82,UK,-11.17,-1720.62,18.32,50.64,-10.94,28.58,-31.44,28.04,-2021.2,-746.3,-9074.28,Very high,1265.13,6,5.61,809.8,5275,4041.93,22157.28,18.21,2396.43,1775.67,85.76,-5360.1,20.54,-122.16,-197.4,2.3,27.72,5,127.8
141.8,2498.67,190.71,USA,-17.21,-410.46,16.87,53.18,-6.12,21.76,-94.32,29.56,-1211.92,-1351.94,-9502.95,Low,1654.8,5,1.85,541.67,14368.16,2427.54,24339.15,18.08,3273.03,1009.47,71.44,-1468.11,3.74,-146.19,-189.48,4.5,26.22,9,-8.93
85.4,935.31,170.43,UK,-42.98,-914.5,11.39,38.18,-9.83,22.02,69.66,27.92,-247.54,-737.29,-7680.99,Very low,3039.9,2,3.12,704.33,18014.22,4412.76,27767.49,17.91,2909.04,2218.68,85.82,-1579.98,5.2,-30.21,-193.64,9.72,47.13,6,-8.93
158.62,3275.91,155.54,UK,26.95,-469.52,15.83,50.06,-12.66,16.66,79.7,36.58,-4670.88,-757.29,-7758.48,High,1302.48,6,6.14,859.43,9278.82,4011.42,45371.88,23.87,2488.05,554.16,73.4,-12979.32,0.01,-26.76,-181.84,4.96,12.6,4,90.59
160.36,1559.73,186.66,UK,-2.12,-781.64,14.75,48.28,-4.4,27.68,-46.38,22.46,-3367.52,-416.56,-10155.66,Very high,2923.98,2,4.52,937.13,13700.98,2872.65,14004.42,19.86,3840.27,3747.42,69.92,-11526.27,1.26,-168.12,-224.96,10.02,24.6,2,22.68
31.96,2534.55,149.18,UK,38.25,258.2,19.33,57.06,-9.95,22.24,40.4,38.62,-1712.72,-619.78,-7664.52,Low,3414.24,4,4.28,1031.57,24657.06,4080.54,18236.55,16.15,3599.82,1056.09,64.24,-12655.23,0.02,-166.62,-106.92,6.28,37.86,2,72.1
144.12,3060.66,176.5,Rest,-35.79,-1403.6,15.74,70.6,-7.55,29.18,91.4,34.46,-209.52,-964.01,-8670.3,Very high,2280.39,3,1.29,487.9,13493.54,2489.04,22244.88,23.12,2150.73,5791.8,66.94,-16982.94,1.94,29.67,-138.9,2.2,26.1,5,170.77
279.72,2653.8,197.55,UK,-70.93,-352.66,11.95,51.32,-11.84,20.1,-64.68,36.18,-2546.9,-892.61,-6767.31,Very low,2784.69,3,3.1,1217.77,9499.68,2865.93,10415.13,20.36,2412.54,628.77,81,-17671.35,1.52,-17.82,-185.28,19.58,42.69,5,16.98
199.8,1740.39,120.56,Rest,3,-277.7,20.14,56.4,-6.93,31.9,-61.44,33.98,-109.22,-680.36,-7436.7,Low,1995.9,6,9.42,1287.16,30186.28,3310.29,27278.22,21.04,3258.09,-407.16,76.74,-2024.25,2.78,-58.14,-125.74,20.76,16.8,7,-8.93
167.64,2876.13,165.92,UK,-83.39,-357.96,16.52,51.44,-10.26,24.26,181.06,23.14,-3657.82,-114.26,-7566.33,Very low,3069.42,4,3.09,516.06,23039.44,3971.79,17621.49,11.14,4776.66,3089.82,75.22,-10423.8,0.15,-17.58,-65.66,10.32,22.92,4,33.6
220.6,2217.72,268.42,UK,-19.23,-1091.06,7.39,59.74,-15.29,31.88,24.88,37.26,-678.02,-533.32,-7365.06,Very low,1776.6,3,2.56,456.13,17436.52,2951.19,25037.64,28.5,3005.85,1770.51,69.12,-14771.85,312.65,-68.4,-179.68,5.6,31.98,6,47.34
162.62,3848.88,190.52,USA,6.94,-1013.22,8.14,60.7,-15.09,18.62,38.76,37.98,-2652.88,-402.94,-7746.81,Medium,1933.71,4,8.71,466.82,11928.94,3329.19,38522.76,16.19,3147.12,2735.94,53.5,-30724.56,217.99,-22.65,-206.4,5.54,35.7,3,54.92
267.38,2364.33,210.14,Europe,-8.97,-1124.38,17.66,68.3,-7.41,26.48,10.5,34.02,-1894.14,-980.41,-7982.4,Very high,4744.65,2,1.2,1023.25,32546.32,2303.52,24567.9,20.32,3465.87,1510.14,56.56,-20891.94,1.72,-220.35,-115.92,4.24,35.31,4,213.24
252.44,3173.22,209.74,Europe,-86.86,-60.62,15.54,58.14,-11.92,49.66,56,38.62,-1585.3,-926.49,-6971.1,High,1841.91,3,0.62,676.94,851.56,4056.96,28589.22,19.81,3757.14,1680.42,84.4,-16783.11,1.17,-51.36,-229.8,7.24,31.53,1,556.45
97.38,3260.67,195.17,USA,-28.07,-972.98,22.02,61.82,-6.23,15.98,10.84,39.92,-1896.4,-1113.07,-8793.75,High,3776.67,4,2.85,312.91,11792.34,2788.56,11763.81,20.71,1008,3775.74,72.06,-10241.94,2.46,-195.18,-260.18,5.12,18.09,3,348.74
255.78,553.83,188.25,Rest,8.72,-1026.86,10.65,37.04,-10.56,27.98,-31.32,47.6,-1725.78,-754.5,-8447.1,Very high,3028.83,2,7.34,899.57,18885.4,3542.55,-2302.41,19.61,3050.79,1596.6,70.9,-29412.18,76.72,47.73,-278.82,3.9,43.5,5,15.51
90.74,1004.31,219.33,Europe,8.82,-434.72,14.42,58.84,-10.3,17.06,117.64,46.28,-201.16,-986.48,-7893.54,Very low,3176.73,6,6.01,587.95,1970.54,3297.93,22616.85,28.56,2042.4,964.44,64.32,5251.92,0.01,-152.19,-122.38,9.26,16.65,7,-8.93
211.4,5592.12,260.98,Europe,-17.75,-613.36,7.07,58.18,-11.39,-1.28,140.08,36.1,-1859.96,-1165.36,-7903.53,High,1980.33,2,1.37,668.03,19569.34,3531.39,17199.81,16.3,2361.75,2138.67,70.9,-8233.5,39.27,-55.23,-89.18,4.54,30.84,6,281.96
228.58,2391.15,170.7,UK,-12.5,-779.72,20.11,55.92,-9.38,25.34,-25.76,36.5,-2368.74,-1155.72,-8570.79,Low,3775.38,5,2.81,696.48,27830.78,5634.87,6219.9,19.02,2693.82,902.67,66.98,-13375.62,0.73,72.75,-151.34,2.86,28.92,3,114.4
143.12,2421.3,201.5,UK,5.89,-1141.92,14.51,52.24,-8.26,25.24,10.84,35.5,-728.52,-1298.75,-7494.18,High,2218.2,3,4.73,677.5,18784.48,1939.83,10519.29,17.25,2130.36,1201.8,58.72,-1927.32,0.06,-182.94,-290.98,10.42,28.86,7,-8.93
167.38,2772.84,182.83,UK,-24.82,-827.74,12.39,65.14,-7.83,28.38,65.94,31.7,-1499.64,-645.88,-7812.39,Medium,1217.01,3,7.73,838.19,16726.74,3479.43,17162.58,21.83,2777.07,1643.82,80.48,-8450.25,0.37,-305.22,-211.42,4.4,18.54,4,-8.93
194.2,1068.33,190.89,Rest,120.76,-754.5,15.04,51.08,-12.44,32.86,1.72,43.34,-2089.62,-943.8,-7045.92,Low,2530.65,3,1.12,1341.52,14415.82,3856.8,32521.89,14.09,3330.45,701.19,70.14,-10759.92,0,-63.99,-272.8,13.56,18.96,2,292.27
231.4,1896.87,204.08,Rest,-34.4,-777.88,20.7,54.4,-12.55,13.02,-72.86,30.82,-1864.14,-964.47,-6884.04,High,1826.94,4,1.29,497.39,12047.54,3042.36,9866.46,20.3,2068.95,2206.35,76.42,-11116.83,3.6,5.07,-137.72,1.76,19.53,2,501.14
106.58,2914.11,228.4,Rest,-18.33,-1321.94,2.98,60.16,-12.22,24.24,-82.54,25.36,-1023.3,-780.77,-7132.17,Very high,4159.08,4,1.38,739.35,7688.34,3136.38,13337.01,21.17,2534.25,2059.56,49.86,-12873.15,0.04,-28.35,-116.42,11.72,23.46,6,338.38
136.8,1635.03,182,UK,-22.67,-883.1,14.28,98.74,-11.94,30.62,87.06,32.34,-3991.94,-870.2,-8507.07,Very low,825.09,4,5.41,741.67,18143.54,2136.39,33410.34,16.18,2397.12,1800.99,32.22,-31892.82,5.72,-47.19,-27.42,4.6,31.56,3,-1.19
207.4,3542.97,140.85,Rest,-32.97,-1474.46,14.09,55.32,-11.6,32.66,89.32,35.64,-2758.2,-1322.39,-8205.84,Very low,3096.87,2,4.62,1158.75,7265.34,3973.65,22494.72,16.29,4162.32,1585.05,73.22,-17211.33,12.69,-138.21,-289.9,6.26,27.96,1,95.69
118.16,4127.16,190.73,USA,-17.27,256.3,16.32,48.34,-12.66,18.82,80.92,15,-2269.5,-701.2,-6618.99,Medium,1522.59,2,3.4,310.5,18770.56,5015.94,13239.93,18.86,1806.39,-825.6,70.32,1062.81,0.83,-126.63,-93.5,10.72,26.22,5,293.92
126.38,1556.82,176.52,Europe,-0.01,-596.16,10.39,48.9,-10.24,25.28,22.9,37.3,-1177.2,-1701.14,-6301.83,Low,1608.84,2,7.14,857.98,13147.7,2450.04,12435.24,20.97,2467.38,1221.45,69.58,-21656.13,2.48,-222.66,-222.64,8.34,24.78,6,-8.93
113.16,3815.58,161.24,Europe,-66.76,-1086.28,14.41,52.42,-10.08,21.98,79.02,32.56,-446.84,-505.4,-7575.18,Very low,3750.69,1,1.14,806.33,-427.38,1817.76,29011.77,15.74,2230.62,495.69,69.72,-37258.59,1.23,-82.08,-169.1,10.9,36.51,5,-8.93
258.76,2964,161.35,UK,-10.13,-546.34,15.94,29.34,-11.65,31.9,6.26,37.96,-3299.94,-1150.71,-7472.46,High,1810.98,4,3.1,1169.19,11101.98,4307.1,30399.42,17.61,3339.72,157.17,74.6,-14668.38,18.37,-134.13,-231.46,3.34,26.4,2,184.93
136.9,2196.18,217.22,UK,-70.13,770.12,13.41,55.24,-9.14,26.2,21.18,13.88,-1635.52,-483.46,-6394.26,High,3245.7,4,2.9,1234.26,15481.46,3548.94,502.95,16.31,3460.2,1993.95,65.08,-27168.63,2.08,27.6,-211.82,0.98,32.43,6,56.26
119.34,2595.54,210.62,UK,-39.62,-1019.54,14.67,55.82,-4,20.62,34.88,34,-1730.1,-517.89,-6992.25,Medium,2740.71,4,1.11,775.93,19702.98,4053.39,28246.14,18.59,4309.62,2103.45,71.26,-14917.47,0.09,-172.41,-119.42,12.82,13.38,6,-8.93
228.7,2584.74,195.57,UK,-12.77,-628.24,17.57,56.48,-10.04,28.7,-20.12,38.32,-1772.24,-796.86,-8653.32,High,2829.3,7,8.41,603.5,11649.44,4018.71,13550.22,19.75,3199.59,2330.73,70.34,-15675.96,2.01,-8.76,-160.66,7.2,19.53,6,17.45
160.78,2212.32,120.86,USA,-1.02,-1440.88,15.5,52.82,-7.18,19.16,76.62,22,-1160.7,-1143.3,-6638.73,Very high,1625.4,2,0.87,923.15,16807.1,3671.94,26414.25,18.68,2982.15,2703.81,69.32,-8030.58,0.17,-163.05,-306.26,11.26,35.73,2,579.31
231.94,3263.79,109.34,Rest,12.17,-721.26,14.76,42.58,-10.54,38.42,8.12,20.34,-2425.1,-503.02,-10057.17,Very high,3464.37,6,2.46,512.18,13721.52,4620.78,24382.62,17.6,3664.35,1344.66,61.3,-18291.66,0.61,-30.15,-149.48,3.74,25.98,3,419.09
229.8,1489.71,101.1,Rest,10.4,-1083.88,19.36,56.24,-8.88,46.02,-3.36,38.7,-1364.58,-669.41,-6088.14,High,1381.11,2,5.44,730.2,30435.32,3946.38,25041.48,20.96,1819.2,1775.46,91.68,-15243.33,2.06,-123.51,-101.28,5.86,18.12,8,-8.93
234.98,3364.65,159.24,Rest,-12.05,-1010.2,15.53,49.12,-11.5,26.34,124.78,39.9,-2421.42,-767.49,-6634.47,Low,2388.12,4,0.57,1139.45,8705.5,3238.53,23138.82,19.36,4487.22,1677.69,70.12,-16150.11,0.49,-125.1,-80.58,11.14,26.49,4,251.49
223.48,2866.08,293.05,UK,-36.95,-1040.22,17.34,49.28,-5.44,22.36,24.52,36.72,-1368.52,-953.39,-7133.55,High,1577.49,3,3.4,883.24,46368.52,3746.61,15670.95,18.55,1585.74,3435.12,79.94,-7954.68,0.02,-105.18,-216.04,3.74,30.48,3,35.85
218.84,2914.47,135.53,Rest,49.41,182.62,10.68,52.68,-7.51,23.72,-99.3,39.88,-1762.1,-1852.33,-6024.84,High,3412.41,4,1.97,1061.74,16875.62,3043.5,16646.79,18.06,3557.7,837.3,65.3,-12358.11,0.33,-169.41,-80.9,9.2,36.15,2,286.22
176.66,3318.9,60.71,Rest,-25.27,-429.1,16.17,58.3,-8.96,20.6,-97.46,38.78,-1638.68,-837.21,-6794.55,Medium,996.96,4,1.43,1215.79,19772.04,3868.08,28231.68,15.85,3911.7,2142.45,97.84,-14046.24,55.74,-102.66,-182.98,18.18,37.5,2,265.8
170.5,3422.61,167.59,Europe,25.6,-598.1,14.2,49.98,-7,17.5,4.82,21.14,-1834.06,-914.09,-7945.5,Very low,1879.71,3,1.53,581.2,16614.64,1862.22,25053.12,16.97,2675.19,1479.21,75.9,-9569.34,1.58,-20.76,-157.1,2.98,33.69,5,-8.93
